Reference_type,access_date,alternate_title,author,date,edition,externalBibCode,internal_taxon_id,isbnissn,keywords,number,number_of_volumes,pages,place_published,publisher,secondary_author,secondary_title,section,short_title,submission_type,title,type,url,volume,year
Assessment,,"","Channing, A. and Bogart, J.P.","","",,21136111,"","","","",80-85,"","","",South African Journal of Zoology,"","",Published,Description of a tetraploid <i>Tomopterna</i> (Anura: Ranidae) from South Africa,journal article,"",31,1996
Assessment,,"","Pickersgill, M.","","",,21136111,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Channing, A.",,,,58776,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,58776,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,58776,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,58776,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,,"Channing, A.",,,,58776,,,35,,19-24,,,,Journal of Herpetological Association of Africa,,,,Opportunistic seasonal breeding by frogs in Namaqualand,Journal Article,,,1988
Assessment,,"","Dawood, A., Channing, A. and Bogart, J.P.","","",,58776,"","","","",407-413,"","","",Molec. Phyl. Ecol.,"","",Published,A molecular phylogeny of the frog genus <i>Tomopterna</i> in South Africa: examining species boundaries with mitochondrial 12S rRNA sequence data,journal article,"",22,2002
Assessment,,"","Dawood, A. and Channing, A.","","",,58776,"","","","",129-134,"","","",African Journal of Herpetology,"","",Published,"Description of a new cryptic species of African sand frog, <i>Tomopterna damarensis</i> (Anura: Ranidae), from Namibia",journal article,"",51,2002
Assessment,,"","Passmore, N.I. and Carruthers, V.C.","","",,58776,"","","","",31-50,"","","",Koedoe,"","",Published,"A new species of <i>Tomopterna</i> (Anura: Ranidae) from the Kruger National Park, with notes on related species",journal article,"",18,1975
Assessment,,"","Channing, A. and Bogart, J.P.","","",,58776,"","","","",80-85,"","","",South African Journal of Zoology,"","",Published,Description of a tetraploid <i>Tomopterna</i> (Anura: Ranidae) from South Africa,journal article,"",31,1996
Assessment,,"","Pickersgill, M.","","",,58776,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Lambiris, A.J.L.",,,,58777,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Channing, A.",,,,58777,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,"","Channing, A. and Griffin, M.","","",,58777,"","","","",101-116,"","","",Madoqua,"","",Published,An annotated checklist of the frogs of Namibia,journal article,"",18,1993
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,58777,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,58777,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,"","Poynton, J.C. and Broadley, D.G.","","",,58777,"","","","",115-181,"","","",Annals of the Natal Museum,"","",Published,Amphibia Zambesiaca. 2. Ranidae,journal article,"",27,1985
Assessment,,"","Dawood, A., Channing, A. and Bogart, J.P.","","",,58777,"","","","",407-413,"","","",Molec. Phyl. Ecol.,"","",Published,A molecular phylogeny of the frog genus <i>Tomopterna</i> in South Africa: examining species boundaries with mitochondrial 12S rRNA sequence data,journal article,"",22,2002
Assessment,,"","Dawood, A. and Channing, A.","","",,58777,"","","","",129-134,"","","",African Journal of Herpetology,"","",Published,"Description of a new cryptic species of African sand frog, <i>Tomopterna damarensis</i> (Anura: Ranidae), from Namibia",journal article,"",51,2002
Assessment,,"","Passmore, N.I. and Carruthers, V.C.","","",,58777,"","","","",31-50,"","","",Koedoe,"","",Published,"A new species of <i>Tomopterna</i> (Anura: Ranidae) from the Kruger National Park, with notes on related species",journal article,"",18,1975
Assessment,,"","Channing, A. and Bogart, J.P.","","",,58777,"","","","",80-85,"","","",South African Journal of Zoology,"","",Published,Description of a tetraploid <i>Tomopterna</i> (Anura: Ranidae) from South Africa,journal article,"",31,1996
Assessment,,"","Pickersgill, M.","","",,58777,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Lambiris, A.J.L.",,,,58778,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Channing, A.",,,,58778,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Stewart, M.M.",,,,58778,,,,,,Albany,State University of New York Press,,,,,,Amphibians of Malawi,Book,,,1967
Assessment,,"","Lambiris, A.J.L.","","",,58778,"","","","",1-247,"","","","Mus. Reg. Sci. Nat. Torino, Monografia","","",Published,The frogs of Zimbabwe,journal article,"",10,1989
Assessment,,"","Broadley, D.G.","","",,58778,"","","","",1-143,"","","",Puku,"","",Published,The reptiles and amphibians of Zambia,journal article,"",6,1971
Assessment,,,"Poynton, J.C.",,,,58778,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,"","Channing, A. and Griffin, M.","","",,58778,"","","","",101-116,"","","",Madoqua,"","",Published,An annotated checklist of the frogs of Namibia,journal article,"",18,1993
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,58778,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,58778,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,58778,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,"","Poynton, J.C.","","",,58778,"","","","",13-34,"","","",Memoirs de Instituto de Investigação Científica de Moçambique Ser. A. Ciencas B,"","",Published,Amphibia of northern Mozambique,journal article,"",8,1966
Assessment,,"","Poynton, J.C. and Broadley, D.G.","","",,58778,"","","","",115-181,"","","",Annals of the Natal Museum,"","",Published,Amphibia Zambesiaca. 2. Ranidae,journal article,"",27,1985
Assessment,,"","Dawood, A., Channing, A. and Bogart, J.P.","","",,58778,"","","","",407-413,"","","",Molec. Phyl. Ecol.,"","",Published,A molecular phylogeny of the frog genus <i>Tomopterna</i> in South Africa: examining species boundaries with mitochondrial 12S rRNA sequence data,journal article,"",22,2002
Assessment,,"","Dawood, A. and Channing, A.","","",,58778,"","","","",129-134,"","","",African Journal of Herpetology,"","",Published,"Description of a new cryptic species of African sand frog, <i>Tomopterna damarensis</i> (Anura: Ranidae), from Namibia",journal article,"",51,2002
Assessment,,"","Poynton, J.C.","","",,58778,"","","","",193-225,"","","",Senckenbergiana Biologica,"","",Published,Amphibia of the Nyasa-Luangwa region of Africa,journal article,"",45,1964
Assessment,,"","Passmore, N.I. and Carruthers, V.C.","","",,58778,"","","","",31-50,"","","",Koedoe,"","",Published,"A new species of <i>Tomopterna</i> (Anura: Ranidae) from the Kruger National Park, with notes on related species",journal article,"",18,1975
Assessment,,"","Pickersgill, M.","","",,58778,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Lambiris, A.J.L.",,,,58779,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Channing, A.",,,,58779,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,58779,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,58779,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,58779,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,"","Poynton, J.C. and Broadley, D.G.","","",,58779,"","","","",115-181,"","","",Annals of the Natal Museum,"","",Published,Amphibia Zambesiaca. 2. Ranidae,journal article,"",27,1985
Assessment,,,"Balinsky, B.I.",,,,58779,,,53,,383-391,,,,S. Afr. J. Sci.,,,,South African amphibia as material for biological research,Journal Article,,,1957
Assessment,,"","Dawood, A., Channing, A. and Bogart, J.P.","","",,58779,"","","","",407-413,"","","",Molec. Phyl. Ecol.,"","",Published,A molecular phylogeny of the frog genus <i>Tomopterna</i> in South Africa: examining species boundaries with mitochondrial 12S rRNA sequence data,journal article,"",22,2002
Assessment,,"","Passmore, N.I. and Carruthers, V.C.","","",,58779,"","","","",31-50,"","","",Koedoe,"","",Published,"A new species of <i>Tomopterna</i> (Anura: Ranidae) from the Kruger National Park, with notes on related species",journal article,"",18,1975
Assessment,,"","Pickersgill, M.","","",,58779,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Channing, A. and Howell, K.M.",,,,58780,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Amphibians of East Africa,Book,,,2006
Assessment,,,"Channing, A.",,,,58780,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,58780,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,"","Dawood, A., Channing, A. and Bogart, J.P.","","",,58780,"","","","",407-413,"","","",Molec. Phyl. Ecol.,"","",Published,A molecular phylogeny of the frog genus <i>Tomopterna</i> in South Africa: examining species boundaries with mitochondrial 12S rRNA sequence data,journal article,"",22,2002
Assessment,,"","Dawood, A. and Channing, A.","","",,58780,"","","","",129-134,"","","",African Journal of Herpetology,"","",Published,"Description of a new cryptic species of African sand frog, <i>Tomopterna damarensis</i> (Anura: Ranidae), from Namibia",journal article,"",51,2002
Assessment,,"","Channing, A. and Bogart, J.P.","","",,58780,"","","","",80-85,"","","",South African Journal of Zoology,"","",Published,Description of a tetraploid <i>Tomopterna</i> (Anura: Ranidae) from South Africa,journal article,"",31,1996
Assessment,,"","Pickersgill, M.","","",,58780,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Coe, M.",,,,58801,,,172,,13-34,,,,Journal of Zoology,,,,Observations on the ecology and breeding biology of the genus Chiromantis (Amphibia: Rhacophoridae),Journal Article,,,1974
Assessment,,,"Poynton, J.C.",,,,58801,,,49,,111-128,,,,African Journal of Herpetology,,,,Foam-nest treefrogs in eastern Africa (Anura Rhacophoridae Chiromantis): taxonomic complexities,Journal Article,,,2000
Assessment,,,"Lambiris, A.J.L.",,,,58801,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Channing, A. and Howell, K.M.",,,,58801,,,,,,Frankfurt am Main,Edition Chimaira,,,,,,Amphibians of East Africa,Book,,,2006
Assessment,,,"Harper, E. and Vonesh, J.R.",,,,58801,,,,,,,http://www.zoo.ufl.edu/voneshjr/Harper%20&%20Vonesh%20-%20Amphibian%20Guide.pdf,,,,,,Field Guide to the Amphibians of the East Usambara Mountains. Preliminary Draft,Book,,,2003
Assessment,,,"Channing, A.",,,,58801,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Stewart, M.M.",,,,58801,,,,,,Albany,State University of New York Press,,,,,,Amphibians of Malawi,Book,,,1967
Assessment,,"","Broadley, D.G.","","",,58801,"","","","",1-143,"","","",Puku,"","",Published,The reptiles and amphibians of Zambia,journal article,"",6,1971
Assessment,,,"Poynton, J.C.",,,,58801,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,,"Seymour, R.S. and Loveridge, J.P.",,,,58801,,,197,,31-46,,,,Journal of Experimental Biology,,,,Embryonic and larval respiration in the arboreal foam nests of the African frog Chiromantis xerampelina,Journal Article,,,1994
Assessment,,,"Loveridge, J.P.",,,,58801,,,5,,1-6,,,,Arnoldia Rhod.,,,,"Observations on the nitrogenous excretion and water relations of Chiromantis xerampelina (Amphibia, Anura)",Journal Article,,,1970
Assessment,,"","Channing, A. and Griffin, M.","","",,58801,"","","","",101-116,"","","",Madoqua,"","",Published,An annotated checklist of the frogs of Namibia,journal article,"",18,1993
Assessment,,,"Kaul, R. and Shoemaker, V.H.",,,,58801,,,(B)158,,643-649,,,,Journal of Comparative Physiology,,,,Control of thermoregulatory evaporation in the waterproof frog Chiromantis xerampelina,Journal Article,,,1989
Assessment,,,"Jennions, M.D., Backwell, P.R.Y. and Passmore, N.I.",,,,58801,,,44,,1091-1100,,,,Animal Behaviour,,,,"Breeding behaviour of the African frog, Chiromantis xerampelina: multiple spawning and polyandry",Journal Article,,,1992
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,58801,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,"","Poynton, J.C.","","",,58801,"","","","",193-225,"","","",Senckenbergiana Biologica,"","",Published,Amphibia of the Nyasa-Luangwa region of Africa,journal article,"",45,1964
Assessment,,"","Schiøtz, A.","","",,58801,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Treefrogs of Africa,book,"","",1999
Assessment,,"","Poynton, J.C.","","",,58801,"","","","",117-126,"","","",Systematics and Biodiversity,"","",Published,Altitudinal species turnover in southern Tanzania shown by anurans: some zoogeographical considerations,journal article,"",1,2003
Assessment,,"","Poynton, J.C. and Broadley, D.G.","","",,58801,"","","","",161-229,"","","",Annals of the Natal Museum,"","",Published,Amphibia Zambesiaca. 3. Rhacophoridae and Hyperoliidae,journal article,"",28,1987
Assessment,,"","Stevens, R.A.","","",,58801,"","","","",1-22,"","","",Arnoldia Rhodesia,"","",Published,An annotated checklist of the amphibians and reptiles known to occur in south-eastern Malawi,journal article,"",6,1974
Assessment,,"","Pickersgill, M.","","",,58801,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,,"Schiøtz, A.",,,,596,,,,,,Copenhagen,Steenstrupia,,,,,,The Treefrogs of Eastern Africa,Book,,,1975
Assessment,,,"Lambiris, A.J.L.",,,,596,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Channing, A.",,,,596,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,596,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,596,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Jacobsen, N.H.G.",,,,596,,,,,,,"Unpublished PhD thesis, University of Natal, Durban",,,,,,A herpetological survey of the Transvaal,Book,,,1989
Assessment,,,"Pickersgill, M.",,,,596,,,13,,203-220,,,,Durban Museum Novitates,,,,Three new <i>Afrixalus</i> (Anura: Hyperoliidae) from south-eastern Africa,Journal Article,,,1984
Assessment,,,"Backwell, P.R.Y. and Passmore, N.I.",,,,596,,,105,,275-280,,,,Journal of African Zoology,,,,Advertisement calls and female phonotaxis in Natal dwarf <i>Afrixalus</i> (Anura: Hyperoliidae),Journal Article,,,1991
Assessment,,,"Pickersgill, M.",,,,596,,,29,,1-38,,,,Steenstrupia,,,,The taxonomy and ethology of the <i>Afrixalus stuhlmanni</i> superspecies (Anura: Hyperoliidae),Journal Article,,,2005
Assessment,,,"Schiøtz, A.",,,,596,,,137,,9-18,,,,Videnskabelige Meddelelser fra Dansk Naturhistorisk Forening,,,,Revision of the genus <i>Afrixalus</i> (Anura) in eastern Africa,Journal Article,,,1974
Assessment,,"","Schiøtz, A.","","",,596,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Treefrogs of Africa,book,"","",1999
Assessment,,"","Poynton, J.C. and Broadley, D.G.","","",,596,"","","","",161-229,"","","",Annals of the Natal Museum,"","",Published,Amphibia Zambesiaca. 3. Rhacophoridae and Hyperoliidae,journal article,"",28,1987
Assessment,,"","Pickersgill, M.","","",,596,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Frog Search. Results of Expeditions to Southern and Eastern Africa.,book,"","",2007
Assessment,,"","Pickersgill, M.","","",,596,"","","","","",University of Leeds,Unpublished MSc thesis,"","","","",Published,The ethology and systematics of eastern and southern African savanna <i>Afrixalus</i> (Anura: Hyperoliidae),book,"","",2000
Assessment,,,"Lambiris, A.J.L.",,,,10644,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Channing, A.",,,,10644,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,10644,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,10644,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Raw, L.R.G.",,,,10644,,,13,,117-126,,,,Durban Museum Novitates,,,,"A new species of reed frog (Amphibia: Hyperoliidae) from the coastal lowlands of Natal, South Africa",Journal Article,,,1982
Assessment,,"","Schiøtz, A.","","",,10644,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Treefrogs of Africa,book,"","",1999
Assessment,,"","Poynton, J.C. and Broadley, D.G.","","",,10644,"","","","",161-229,"","","",Annals of the Natal Museum,"","",Published,Amphibia Zambesiaca. 3. Rhacophoridae and Hyperoliidae,journal article,"",28,1987
Assessment,,,"Armstrong, A.J.",,,,11700,,,2,,79-96,,,,Journal of Herpetology,,,Published,Conservation status of herpetofauna endemic to KwaZulu-Natal,journal article,,50,2001
Assessment,,,"Lambiris, A.J.L.",,,,11700,,,,,1-210,,,,Lammergeyer,,,Published,A review of the amphibians of Natal,journal article,,39,1989
Assessment,,,"Channing, A.",,,,11700,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Poynton, J.C.",,,,11700,,,,,1-334,,,,Annals of the Natal Museum,,,Published,The amphibia of southern Africa: a faunal study,journal article,,17,1964
Assessment,,,"Poynton, J.C.",,,,11700,,,,,319-332,,,,Annals of the Natal Museum,,,Published,Descriptions of southern African amphibians,journal article,,15,1963
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,11700,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,11700,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,"","Schiøtz, A.","","",,11700,"","","","","",Frankfurt am Main,Edition Chimaira,"","","","",Published,Treefrogs of Africa,book,"","",1999
Assessment,,,"Channing, A.",,,,1301,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,1301,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,1301,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,1301,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,,"Visser, J.",,,,1301,,,4 Mei,,"48-49, 51",,,,Landbouweekblad,,,,"Wonderwereld van die paddas 13. Kaapse en Natalse Kriekpadda, Hogsback-padda en Kloofpadda",Journal Article,,,1979
Assessment,,,"Castley, J.G.",,,,1301,,,,,,Port Elizabeth,"Unpublished Ph.D. thesis, University of Port Elizabeth",,,,,,Vertebrate Diversity in Indigenous Forests of the Eastern Cape,Book,,,1997
Assessment,,,"Channing, A.",,,,13318,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,13318,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Passmore, N.I. and Carruthers, V.C.",,,,13318,,,,,,Johannesburg,Southern Book Publishers and Witwatersrand University Press,,,,,,"South African Frogs, 2nd Edition",Book,,,1995
Assessment,,,"Wager, V.A.",,,,13318,,,,,,Craighall,Delta Books,,,,,,"Frogs of South Africa, 2nd edition",Book,,,1986
Assessment,,,"Visser, J.",,,,13318,,,21,,21-28,,,,Journal of Herpetological Association of Africa,,,,Calling and spawning dates of the south-western Cape frogs,Journal Article,,,1979
Assessment,,,"Baard, E.H.W.",,,,13318,,,49,,161-168,,,,Biological Conservation,,,,"The status of some rare and endangered endemic reptiles and amphibians of the southwestern Cape Province, South Africa",Journal Article,,,1989
Assessment,,,"De Villiers, A.L.",,,,13318,,,,,142-148,"Stellenbosch, South Africa",Herpetological Association of Africa,,"Proceedings of the Third H.A.A. Symposium on African Herpetology, 1993, Pretoria",,,,Monitoring the distribution and conservation status of threatened amphibians in the southwestern Cape,Book Section,,,1997
Assessment,,,"Channing, A.",,,,23124,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,23124,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"Baard, E.H.W.",,,,23124,,,49,,161-168,,,,Biological Conservation,,,,"The status of some rare and endangered endemic reptiles and amphibians of the southwestern Cape Province, South Africa",Journal Article,,,1989
Assessment,,,"Picker, M.D., Harrison, J.A. and Wallace, D.",,,,23124,,,,,61-71,Oxford,Zoological Society of London,"Tinsley, R.C. and Kobel, H.R.",The Biology of <i>Xenopus</i>,,,,"Natural hybridisation between <i>Xenopus laevis laevis</i> and <i>X. gilli</i> in the south-western Cape Province, South Africa",Book Section,,,1996
Assessment,,,"Picker, M.D. and de Villiers, A.L.",,,,23124,,,49,,169-183,,,,Biological Conservation,,,,The distribution and conservation status of <i>Xenopus gilli</i> (Anura: Pipidae),Journal Article,,,1989
Assessment,,,"Picker, M.D., McKenzie, C.J. and Fielding, P.",,,,23124,,,1993,,1072-1081,,,,Copeia,,,,Embryonic tolerance of <i>Xenopus</i> (Anura) to acidic blackwater,Journal Article,,,1993
Assessment,,,"Simmonds, M.P.",,,,23124,,,81,,200,,,,South African Journal of Science,,,,"Interactions between <i>Xenopus</i> species in the south-western Cape Province, South Africa",Journal Article,,,1985
Assessment,,,"Evans, B.J., Morales, J.C., Picker, M.D., Kelley, D.B. and Melnick, D.J.",,,,23124,,,6,,333-343,,,,Molecular Ecology,,,,"Comparative molecular phylogeography of two <i>Xenopus</i> species, <i>X. gilli</i> and <i>X. laevis</i>, in the south-western Cape Province, South Africa",Journal Article,,,1997
Assessment,,,"Rau, R.E.",,,,23124,,,76(6),,247-263,,,,Annals of the South African Museum,,,,"The development of <i>Xenopus gilli</i> Rose & Hewitt (Anura, Pipidae)",Journal Article,,,1978
Assessment,,,"Evans, B.J., Morales, J.C., Picker, M.D., Melnick, D.J. and Kelley, D.B.",,,,23124,,,1998,,504-509,,,,Copeia,,,,"Absence of extensive introgression between <i>Xenopis gilli</i> and <i>Xenopus laevis laevis</i> in the southwestern Cape Province, South Africa",Journal Article,,,1998
Assessment,,,"Vigny, C.",,,,23124,,,168,,103-122,,,,Journal of Zoology,,,,The mating calls of 12 species and sub-species on the genus <i>Xenopus</i> (Amphibia: Anura),Journal Article,,,1979
Assessment,,"","Tinsley, R.C. and Kobel, H.R.","","",,23124,"","","","","",London,"Zoological Society of London, Clarendon Press","","","","",Published,The Biology of <i>Xenopus</i>,book,"","",1996
Assessment,,,"Channing, A.",,,,3069,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,3069,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
Assessment,,,"McLachlan, A.",,,,3069,,,23,,,,,,South African National Scientific Programmes Report,,,,South African Red Data Book - Reptiles and Amphibians,Journal Article,,,1978
Assessment,,,"Channing, A.",,,,3070,,,,,,Ithaca and London,Cornell University Press,,,,,,Amphibians of Central and Southern Africa,Book,,,2001
Assessment,,"","Channing, A. and Griffin, M.","","",,3070,"","","","",101-116,"","","",Madoqua,"","",Published,An annotated checklist of the frogs of Namibia,journal article,"",18,1993
Assessment,,,"Minter, L.R., Burger, M., Harrison, J.A., Braack, H.H., Bishop, P.J. and Knoepfer, D.",,,,3070,,,,,,"Washington, D.C.",SI/MAB Series No. 9,,,,,,"Atlas and Red Data Book of the Frogs of South Africa, Lesotho and Swaziland",Book,,,2004
